lineage,TPM
Deltaproteobacteria,53.3423232813894
Deltaproteobacteria,5.97746606660814
Deltaproteobacteria,28.3637675931053
Bacteria,9.83540080531176
Bacteria,1.52372333268362
Deltaproteobacteria,1.49558427441031
Clostridiales,72.2047790643696
Bacteria,6.74606927460016
Bacteria,2.35236850212616
Clostridiales,2.97239103637816
Bacteria,14.7384646517796
Bacteroidetes,41.0881639043161
Bacteroidetes,42.9407197545965
Clostridiales,5.9081772800146
Deltaproteobacteria,7.27386710695326
Clostridiales,140.365987887654
Bacteria,1.86451310306303
Deltaproteobacteria,36.1754443011525
Clostridiales,11.3308016322746
Bacteria,3.18786113948458
Bacteria,4.14185789095386
Bacteria,1.02172735585675
Bacteria,10.2473062114002
Bacteria,12.6305296705039
Deltaproteobacteria,1.90474372419411
Bacteria,5.70130801394214
Bacteroidetes,133.309504086569
Clostridiales,16.7607868578171
Deltaproteobacteria,9.91446003332128
Clostridiales,10.8202450901244
Bacteria,6.49060687527361
Bacteria,19.1649608063898
Bacteria,3.60544394099618
Bacteria,8.05288783812047
Deltaproteobacteria,2.5203976663185
Bacteria,4.74768525503463
Deltaproteobacteria,1.45249599448139
Deltaproteobacteria,12.7383068974147
Clostridiales,29.5190205827452
Bacteria,1.88063991822896
Clostridiales,2.46562278814932
Bacteria,1.04709000078683
